host=adaway.org, protocol=https, dl_speed=6840857, sc_avg_speed=6840857, mc_avg_speed=0, last_updated=1781363859, counter=1, status=OK
host=adlock.dinis.ru, protocol=https, dl_speed=431919, sc_avg_speed=431919, mc_avg_speed=0, last_updated=1781363865, counter=1, status=OK
host=airvpn.org, protocol=https, dl_speed=2695540, sc_avg_speed=1296871, mc_avg_speed=0, last_updated=1781363861, counter=4, status=OK
host=anti-ad.net, protocol=https, dl_speed=21381868, sc_avg_speed=21381868, mc_avg_speed=0, last_updated=1781363859, counter=1, status=OK
host=api.github.com, protocol=https, dl_speed=3509400, sc_avg_speed=3509400, mc_avg_speed=0, last_updated=1781364458, counter=1, status=OK
host=assets.windscribe.com, protocol=https, dl_speed=26171600, sc_avg_speed=26171600, mc_avg_speed=0, last_updated=1781363866, counter=1, status=OK
host=blackip.ustc.edu.cn, protocol=https, dl_speed=63669, sc_avg_speed=63669, mc_avg_speed=0, last_updated=1781363868, counter=1, status=OK
host=blocklist.greensnow.co, protocol=https, dl_speed=300872, sc_avg_speed=300872, mc_avg_speed=0, last_updated=1781363861, counter=1, status=OK
host=blocklist.net.ua, protocol=https, dl_speed=5300918, sc_avg_speed=0, mc_avg_speed=5300918, last_updated=1781363861, counter=1, status=OK
host=blocklist.palemoon.org, protocol=https, dl_speed=466724, sc_avg_speed=466724, mc_avg_speed=0, last_updated=1781363863, counter=1, status=OK
host=blocklistproject.github.io, protocol=https, dl_speed=35438723, sc_avg_speed=35438724, mc_avg_speed=0, last_updated=1781363860, counter=1, status=OK
host=blokada.org, protocol=https, dl_speed=8003642, sc_avg_speed=8003642, mc_avg_speed=0, last_updated=1781363859, counter=1, status=OK
host=cinsscore.com, protocol=https, dl_speed=2001495, sc_avg_speed=2001495, mc_avg_speed=0, last_updated=1781363860, counter=1, status=OK
host=codeberg.org, protocol=https, dl_speed=146601, sc_avg_speed=146601, mc_avg_speed=0, last_updated=1781363863, counter=1, status=OK
host=codeload.github.com, protocol=https, dl_speed=8501418, sc_avg_speed=8027347, mc_avg_speed=0, last_updated=1781363870, counter=3, status=OK
